Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.80455859700619E-08,-0.0302375842795531,0.0941024439588137,0,0,0,0.34550813915769,0.000294986709799315,-2.16054527501346E-09,5.3306408857965E-10,0.000283079459968503,6.32854028872158E-05,0.000477252189359914,0,0,0,0,0,0,package://robot/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/base_link.STL,,6DUUF3_腰部连杆组件-1-1;6RUUU8_深沟球轴承61900-2z-3;6RUUU8_深沟球轴承61900-2z-4;6QUUU2_右踝连杆组件-1/6SUUU3_塞打螺钉6x22-M5-1;6QUUU2_右踝连杆组件-1/6FUU4J_关节轴承-1;6QUUU3_左腰连杆组件-1/6SUUU3_塞打螺钉6x22-M5-1;6QUUU3_左腰连杆组件-1/6FUU4J_关节轴承-2;6DUUF4_腰部连杆组件-2-1,zong,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_yaw,-1.5972196944305E-05,-0.0293159846321194,-0.0791141406491546,0,0,0,0.85618873766775,0.00174168409664194,-1.51281882836354E-07,-1.48893581999069E-07,0.00325823683035716,-0.000559258620485101,0.00368873913807928,0,0,0,0,0,0,package://robot/meshes/waist_yaw.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/waist_yaw.STL,,腰部电机转向固定件-1;x6-p20-60(1mt.054.004)-3;腰部固定转大腿连接件-1;X8-P20-120(1MT.054.005)-1;X8-P20-120(1MT.054.005)-7,zb yao,yao,waist_yaw_joint,revolute,0,-0.00158447319855881,0.0708000000000022,0,0,0,base_link,0,0,-1,100,1,-3.14,3.14,,,,,,,,
left_leg_roll,0.0324159159251559,0.013903201664134,-0.0139031562882574,0,0,0,0.343573716979357,0.000420611929380275,-9.51860263496933E-05,9.47379491451936E-05,0.000592774023427949,-7.16538217919954E-05,0.000592774185113039,0,0,0,0,0,0,package://robot/meshes/left_leg_roll.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/left_leg_roll.STL,,大腿转动固定件-1;X8-P20-120(1MT.054.005)-9,zb zuo zuo you tui,zuo zuo you tui,left_leg_roll_joint,revolute,-0.0899999999999959,-0.075482050807566,-0.129596460717608,-2.35619449019236,0.52359877559829,1.57079632679486,waist_yaw,1,0,0,100,1,-3.14,3.14,,,,,,,,
left_leg_pitch,-0.00443165114452158,0.0126893446323292,-0.0298942225728445,0,0,0,0.302776106248777,0.00037069051458833,4.32288745222752E-05,-0.000101840846315199,0.000370745078310095,6.95357347873709E-05,0.000236445321245846,0,0,0,0,0,0,package://robot/meshes/left_leg_pitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/left_leg_pitch.STL,,大腿1-1,zb zuo qian hou tui,zuo qian hou tui,left_leg_pitch_joint,revolute,0.0759999999999959,0.0247487373415158,-0.0247487373415292,-2.61799387799153,0.785398163397447,1.57079632679485,left_leg_roll,1,0,0,100,1,-1.09,1.78,,,,,,,,
left_leg_yaw,0.00209247775715396,-5.52469291029145E-06,-0.0769933046541316,0,0,0,0.786645536226597,0.00121713098121411,-4.13685741175296E-07,8.08893501177155E-05,0.00104094118915431,1.20856307164789E-07,0.00101590879309463,0,0,0,0,0,0,package://robot/meshes/left_leg_yaw.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/left_leg_yaw.STL,,腰部电机转向固定件-2;x6-p20-60(1mt.054.004)-4;大腿转膝盖连接件-1;x6-p20-60(1mt.054.004)-5,zb zuo tui 1,zuo tui 1,left_leg_yaw_joint,revolute,-0.0240000000027644,0.0274293252199447,-0.0646194407123744,0.401425727958699,0,0,left_leg_pitch,0,0,1,100,1,-3.14,3.14,,,,,,,,
left_knee,-0.0255290981687071,0.000345333666128878,-0.139672269437514,0,0,0,1.35498550753233,0.00436519597832228,-7.99611534083305E-06,-0.000540431920492232,0.0044603932546625,-2.91631237813013E-05,0.000679766032037649,0,0,0,0,0,0,package://robot/meshes/left_knee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/left_knee.STL,,镜像小腿支架-1;6DUUE5_脚踝摆臂-001-002-1;x4-p36-36(1mt.054.003)-14;x4-p36-36(1mt.054.003)-15;6DUUE5_脚踝摆臂-001-002-2;6QUUU1_左踝连杆组件-1/6DUUF0_小腿销轴-2;6QUUU1_左踝连杆组件-1/6DUUE6_脚踝连杆-短-1;6QUUU1_左踝连杆组件-1/6FUU4J_关节轴承-2;6QUUU1_左踝连杆组件-1/6FUU4J_关节轴承-3;6QUUU1_左踝连杆组件-1/6DUUF0_小腿销轴-1;6QUUU1_左踝连杆组件-1/6DUUE7_脚踝连杆-长-1;6QUUU1_左踝连杆组件-1/6FUU4J_关节轴承-4;6QUUU1_左踝连杆组件-1/6SUUU3_塞打螺钉6x22-M5-1;6QUUU1_左踝连杆组件-1/6FUU4J_关节轴承-1;6QUUU1_左踝连杆组件-1/6SUUU3_塞打螺钉6x22-M5-2,zb zuo xi gai,zuo xi gai,left_knee_joint,revolute,0.0188,0,-0.1358,-0.709999939711286,0,0,left_leg_yaw,-1,0,0,100,1,-1.43,0,,,,,,,,
left_ankle_pitch,-9.0205620750794E-16,1.0094355906709E-12,3.00870439673417E-14,0,0,0,0.0407789866179951,3.69697392610955E-06,-3.44270873514275E-22,-1.15667827059762E-21,4.04151613931574E-06,-2.09585429262315E-09,5.54255730543628E-06,0,0,0,0,0,0,package://robot/meshes/left_ankle_pitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/left_ankle_pitch.STL,,右脚-1/6DUUF8_腰部支撑十字架-001-1;右脚-1/6DUUFB_轴承挡圈-2;右脚-1/6DUUFB_轴承挡圈-1;右脚-1/6RUUU8_深沟球轴承61900-2z-4;右脚-1/6RUUU8_深沟球轴承61900-2z-2,zb zuo jiao zhang,zuo jiao zhang qian hou,left_ankle_pitch_joint,revolute,-0.029899999999999,0,-0.304940000000003,0.308574211752587,0,0,left_knee,1,0,0,100,1,-0.75,0.51,,,,,,,,
left_ankle_roll,-2.6033366677114E-06,0.00110021688872164,-0.0244337511441741,0,0,0,0.654588443147418,0.00119052358094622,8.24911108405071E-08,2.08084261747932E-09,0.000600133711791905,7.01827956733735E-07,0.00175072154957559,0,0,0,0,0,0,package://robot/meshes/left_ankle_roll.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/left_ankle_roll.STL,,右脚-1/6DUUE9_脚掌支撑-2-1;右脚-1/6DUUFB_轴承挡圈-4;右脚-1/6DUUFB_轴承挡圈-3;右脚-1/6RUUU8_深沟球轴承61900-2z-1;右脚-1/6RUUU8_深沟球轴承61900-2z-3;6QUUU1_左踝连杆组件-1/6DUUEA_脚掌支撑-3-2;右脚-1/6DUUE8_脚掌支撑-1-1;右脚-1/6DUUFK_脚掌前外壳-1;右脚-1/6DUUFJ_脚掌后外壳-1;右脚-1/6DUUGV_脚掌-1,zb zuo jiao zhang,"zuo jiao zhang zuo you ",left_ankle_roll_joint,revolute,0,0,0,0,0,0,left_ankle_pitch,0,-0.999999025224415,-0.0013962629479225,100,1,-0.4,0.4,,,,,,,,
right_leg_roll,0.0324159164417903,-0.0139032009672306,0.0139031569996455,0,0,0,0.3435737356437,0.000420611973732659,9.51860316691164E-05,-9.47379436901078E-05,0.000592774054923076,-7.1653844190551E-05,0.00059277420289055,0,0,0,0,0,0,package://robot/meshes/right_leg_roll.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/right_leg_roll.STL,,左腿-1/大腿转动固定件-1;左腿-1/X8-P20-120(1MT.054.005)-1,zb you zuo you tui,you zuo you tui,right_leg_roll_joint,revolute,0.090000000000004,-0.0754820508075705,-0.129596460717605,-2.35619449019236,0.52359877559829,1.57079632679486,waist_yaw,1,0,0,100,1,-3.14,3.14,,,,,,,,
right_leg_pitch,0.00443165113897539,0.0126893446323306,-0.0298942225728281,0,0,0,0.302776106248777,0.000370690514588323,-4.32288745222769E-05,0.000101840846315204,0.000370745078310097,6.95357347873679E-05,0.00023644532124585,0,0,0,0,0,0,package://robot/meshes/right_leg_pitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/right_leg_pitch.STL,,左腿-1/大腿1-1,zb you qian hou tui,you qian hou tui,right_leg_pitch_joint,revolute,0.075999999999997,-0.0247487373415237,0.0247487373415275,-2.61799387799153,0.785398163397447,1.57079632679485,right_leg_roll,-1,0,0,100,1,-1.78,1.09,,,,,,,,
right_leg_yaw,-0.00212725923096942,-2.49188911172205E-09,-0.0769929424029223,0,0,0,0.786654003146498,0.00121712973013338,-3.47270489696195E-07,-8.17471315116632E-05,0.0010409728470672,-2.48084579665864E-07,0.00101587583219007,0,0,0,0,0,0,package://robot/meshes/right_leg_yaw.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/right_leg_yaw.STL,,左腿-1/腰部电机转向固定件-1;左腿-1/x6-p20-60(1mt.054.004)-1;左腿-1/大腿转膝盖连接件-1;左腿-1/x6-p20-60(1mt.054.004)-2,zb you tui 1,you tui 1,right_leg_yaw_joint,revolute,0.0239999999972192,0.0274293252199456,-0.0646194407123576,0.4014257279587,0,0,right_leg_pitch,0,0,1,100,1,-3.14,3.14,,,,,,,,
right_knee,0.0254549506465807,0.000373451452596596,-0.13970549480331,0,0,0,1.35498396420902,0.00436487202112095,1.98002415446517E-05,0.000541072387909073,0.00446040834346172,-3.12099779294145E-05,0.00068009054117113,0,0,0,0,0,0,package://robot/meshes/right_knee.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/right_knee.STL,,左腿-1/6DUUEB_镜向小腿支架-1;左腿-1/x4-p36-36(1mt.054.003)-1;左腿-1/x4-p36-36(1mt.054.003)-2;左腿-1/6DUUE5_脚踝摆臂-001-002-1;左腿-1/6QUUU1_左踝连杆组件-1/6DUUE5_脚踝摆臂-001-002-2;左腿-1/6QUUU1_左踝连杆组件-1/6DUUE6_脚踝连杆-短-1;左腿-1/6QUUU1_左踝连杆组件-1/6DUUF0_小腿销轴-2;左腿-1/6QUUU1_左踝连杆组件-1/6FUU4J_关节轴承-2;左腿-1/6QUUU1_左踝连杆组件-1/6DUUE7_脚踝连杆-长-1;左腿-1/6QUUU1_左踝连杆组件-1/6FUU4J_关节轴承-3;左腿-1/6QUUU1_左踝连杆组件-1/6DUUF0_小腿销轴-1;左腿-1/6QUUU1_左踝连杆组件-1/6FUU4J_关节轴承-1;左腿-1/6QUUU1_左踝连杆组件-1/6SUUU3_塞打螺钉6x22-M5-2;左腿-1/6QUUU1_左踝连杆组件-1/6FUU4J_关节轴承-4;左腿-1/6QUUU1_左踝连杆组件-1/6SUUU3_塞打螺钉6x22-M5-1,zb you xi gai,you xi gai,right_knee_joint,revolute,-0.0188000000000001,0,-0.1358,-0.709999939711287,0,0,right_leg_yaw,1,0,0,100,1,-1.43,0,,,,,,,,
right_ankle_pitch,5.96744875736022E-16,1.00443958706009E-12,3.48610029732299E-14,0,0,0,0.0407789866179952,3.69697392610956E-06,8.18405638287283E-21,-4.2897633627577E-20,4.04151613931573E-06,-2.09585429262345E-09,5.54255730543627E-06,0,0,0,0,0,0,package://robot/meshes/right_ankle_pitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/right_ankle_pitch.STL,,左腿-1/装配体5^左腿-1/6DUUF8_腰部支撑十字架-001-1;左腿-1/装配体5^左腿-1/6DUUFB_轴承挡圈-2;左腿-1/装配体5^左腿-1/6DUUFB_轴承挡圈-1;左腿-1/装配体5^左腿-1/6RUUU8_深沟球轴承61900-2z-4;左腿-1/装配体5^左腿-1/6RUUU8_深沟球轴承61900-2z-2,zb you jiao zhang,you jiao zhang qian hou,right_ankle_pitch_joint,revolute,0.029900000000007,0,-0.304940000000006,0.308574211752587,0,0,right_knee,1,0,0,100,1,-0.75,0.51,,,,,,,,
right_ankle_roll_joint,-2.60378182677379E-06,0.0011002178419805,-0.0244337515391634,0,0,0,0.654588470273373,0.00119052357567187,8.24920164052995E-08,2.08009697529074E-09,0.000600133749122771,7.01823274130874E-07,0.00175072158513957,0,0,0,0,0,0,package://robot/meshes/right_ankle_roll_joint.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/right_ankle_roll_joint.STL,,左腿-1/装配体5^左腿-1/6DUUE9_脚掌支撑-2-1;左腿-1/装配体5^左腿-1/6DUUFB_轴承挡圈-4;左腿-1/6QUUU1_左踝连杆组件-1/6DUUEA_脚掌支撑-3-2;左腿-1/装配体5^左腿-1/6DUUFB_轴承挡圈-3;左腿-1/装配体5^左腿-1/6RUUU8_深沟球轴承61900-2z-3;左腿-1/装配体5^左腿-1/6RUUU8_深沟球轴承61900-2z-1;左腿-1/装配体5^左腿-1/6DUUE8_脚掌支撑-1-1;左腿-1/装配体5^左腿-1/6DUUFJ_脚掌后外壳-1;左腿-1/装配体5^左腿-1/6DUUFK_脚掌前外壳-1;左腿-1/装配体5^左腿-1/6DUUGV_脚掌-1,zb you jiao zhang,you jiao zhang zuo you,right_ankle_roll_joint,revolute,0,0,0,0,0,0,right_ankle_pitch,0,-0.999999025224415,-0.0013962629479225,100,1,-0.4,0.4,,,,,,,,
body_roll,-2.77539464039049E-12,-4.64794869259322E-13,5.86877768604666E-13,0,0,0,0.0407789866179951,3.20587637111268E-06,8.76727174842452E-21,-2.03243516832115E-21,4.53261076794555E-06,1.02903029280512E-18,5.54256023179969E-06,0,0,0,0,0,0,package://robot/meshes/body_roll.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/body_roll.STL,,6DUUF8_腰部支撑十字架-001-1;6RUUU8_深沟球轴承61900-2z-1;6RUUU8_深沟球轴承61900-2z-2;6DUUFB_轴承挡圈-4;6DUUFB_轴承挡圈-3,yao qian hou zuo you,zuo you yao,body_roll_joint,revolute,0,-0.00158447319855947,0.110000000000003,0,0,0,base_link,0,1,0,100,1,-0.7,0.7,,,,,,,,
body_pitch,-2.01434574340473E-05,-0.00233299253473686,0.15586105689281,0,0,0,4.08853612538708,0.00542132500186399,-4.67142528720651E-08,-2.39247041085698E-07,0.014466642406765,-2.84377700213521E-07,0.0143277309040381,0,0,0,0,0,0,package://robot/meshes/body_pitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/body_pitch.STL,,6DUUF5_腰部连杆组件-3-2;6DUUF5_腰部连杆组件-3-1;x6-p20-60(1mt.054.004)-2;x6-p20-60(1mt.054.004)-1;腰部电机固定件-1;6QUUU2_右踝连杆组件-1/6DUUF6_腰部连杆组件-4-2;6QUUU2_右踝连杆组件-1/6DUUF7_腰部连杆组件-5-1;6QUUU3_左腰连杆组件-1/6DUUF7_腰部连杆组件-5-1;6QUUU3_左腰连杆组件-1/6DUUF6_腰部连杆组件-4-2;6QUUU2_右踝连杆组件-1/6FUU4J_关节轴承-2;6QUUU2_右踝连杆组件-1/6SUUU4_塞打螺钉6x25-M5-1;6QUUU3_左腰连杆组件-1/6FUU4J_关节轴承-1;6QUUU3_左腰连杆组件-1/6SUUU4_塞打螺钉6x25-M5-1;宽阔的胸膛-1;胸部转头部件-1;x4-p36-36(1mt.054.003)-13;x2-p28-7(1mt.054.001)-1;x2-7连接件1-1;x4-p36-36(1mt.054.003)-1;x2-7连接件2-1;X4-36转接件1-14;X4-36转接件1-1,yao qian hou zuo you,qian hou yao,body_pitch_joint,revolute,0,0,0,0,0,0,body_roll,1,0,0,100,1,-0.4,0.4,,,,,,,,
neck_base_yaw,0.00246007094762883,-0.000165740127493985,0.0881742679041753,0,0,0,0.43169317166591,0.000150668930614392,-5.87688050915407E-07,-3.01047364459321E-08,0.000177271291097111,-1.68384316622874E-07,0.000178372588733824,0,0,0,0,0,0,package://robot/meshes/neck_base_yaw.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/neck_base_yaw.STL,,x2-7连接件3-1;x2-p28-7(1mt.054.001)-2;x2-7连接件4-1;x2-7连接件5-1;x2-7连接件5-2,zb bo zi,bo zi,neck_base_yaw_joint,revolute,0,0,0.2485,0,0,0,body_pitch,0,0,1,100,1,-3.14,3.14,,,,,,,,
left_shoulder_pitch,-0.0549151219288999,-0.0100544745752529,0.000369817872860792,0,0,0,0.602071913298147,0.000322556112708066,-3.15518321749986E-06,-4.05951110189898E-07,0.000402554349219953,-4.71830632017667E-06,0.000345235246684802,0,0,0,0,0,0,package://robot/meshes/left_shoulder_pitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/left_shoulder_pitch.STL,,X4-36转接件2-1;X4-36转接件1-3;x4-p36-36(1mt.054.003)-3,zb zuo qian hou jian,qian hou yao,left_shoulder_pitch_joint,revolute,-0.122999999977962,0,0.214999999999994,0,0,0,body_pitch,1,0,0,100,1,-3.14,3.14,,,,,,,,
left_shoulder_roll,0.000401319421279606,0.0261531705170459,-0.0612944204543082,0,0,0,0.679706108400173,0.000479548884823254,2.58997896398776E-07,-5.66378764800398E-06,0.0004806467478804,4.3724153329716E-05,0.000441333980161071,0,0,0,0,0,0,package://robot/meshes/left_shoulder_roll.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/left_shoulder_roll.STL,,X4-36转接件2-3;x4-p36-36(1mt.054.003)-4;X4-36转接件1-5,zb zuo zuo you jian,zuo zuo you jian,left_shoulder_roll_joint,revolute,-0.0639999999999917,-0.0360000000000115,0,0,0,0,left_shoulder_pitch,0,-1,0,100,1,-3.22,0.08,,,,,,,,
left_arm_yaw,-0.0344994920554985,-2.71713207489199E-13,-0.0307904604407926,0,0,0,0.256768568907474,0.000267699336418193,3.04577283618258E-15,-0.000114399157810505,0.00037060980651779,1.73421203472752E-15,0.000257876839350053,0,0,0,0,0,0,package://robot/meshes/left_arm_yaw.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/left_arm_yaw.STL,,X4-36转接件4-1,zb zuo bi 1,zuo bi 1,left_arm_yaw_joint,revolute,0,0.036000000000007,-0.0980000000000009,0,0,0,left_shoulder_roll,0,0,-1,100,1,-3.14,3.14,,,,,,,,
left_elbow_pitch,0.0242974057203532,-0.000526783197100422,-0.00657699819615576,0,0,0,0.5178207345355,0.000326823416275458,5.66378764800427E-06,1.75608049459899E-05,0.000299884999990418,2.58997896399352E-07,0.0002580037080611,0,0,0,0,0,0,package://robot/meshes/left_elbow_pitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/left_elbow_pitch.STL,,X4-36转接件1-6;X4-36转接件3-1;x4-p36-36(1mt.054.003)-5;X4-36 垫块-1,zb zuo bi 2,zuo bi 2,left_elbow_pitch_joint,revolute,-0.0459999999986074,0,-0.0659999999999984,0,0,0,left_arm_yaw,-1,0,0,100,1,-2.1,2.1,,,,,,,,
left_elbow_yaw,0.00525277342367092,3.15118708904549E-09,-0.0519877210302014,0,0,0,0.233826475925092,0.000294406099334708,5.84849540427856E-08,3.82561662706319E-11,0.000211706156300933,5.84810771162109E-08,0.00017644288078122,0,0,0,0,0,0,package://robot/meshes/left_elbow_yaw.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/left_elbow_yaw.STL,,X4-36转接件1-7;X4-36转接件5-1;X4-P12.5-10-1;X4-P12.5-10-2;X4-36转接件1-8,zb zuo bi 3,zuo bi 3,left_elbow_yaw_joint,revolute,0.0430000000000002,0,-0.0665000000000002,0,0,0,left_elbow_pitch,0,0,-1,100,1,-3.14,3.14,,,,,,,,
left_wrist_roll,0.00266677840813909,7.82707232360735E-15,-0.0255270569824787,0,0,0,0.18814853551736,0.000206389876875441,4.34427513263631E-19,-4.3874188156648E-05,0.000206132974546275,2.22331119664525E-19,0.000128921763978,0,0,0,0,0,0,package://robot/meshes/left_wrist_roll.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/left_wrist_roll.STL,,X4-36转接件2-5,zb zuo shou zhang,zuo shou zhang,left_wrist_roll_joint,revolute,0.0160000000000041,0,-0.096229619598258,0,0,0,left_elbow_yaw,-1,0,0,100,1,-1.96,1.96,,,,,,,,
right_shoulder_pitch,0.0549932338368724,-0.0100544590375346,0.000414915803955501,0,0,0,0.602071913298147,0.000322107515192448,2.50860443050457E-06,6.64949006589229E-07,0.000402554349219953,-5.09166164944748E-06,0.000345683844200419,0,0,0,0,0,0,package://robot/meshes/right_shoulder_pitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/right_shoulder_pitch.STL,,X4-36转接件2-7;X4-36转接件1-12;x4-p36-36(1mt.054.003)-10,zb you qian hou jian,you qian hou jian,right_shoulder_pitch_joint,revolute,0.123000000022055,0,0.214999999999994,0,0,0,body_pitch,1,0,0,100,1,-3.14,3.14,,,,,,,,
right_shoulder_roll,-0.000401319421278773,0.026073276582522,-0.061294420454308,0,0,0,0.679706108400173,0.000479548884823254,2.58997896398762E-07,5.66378764800468E-06,0.0004806467478804,4.44708130380455E-05,0.000441333980161071,0,0,0,0,0,0,package://robot/meshes/right_shoulder_roll.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/right_shoulder_roll.STL,,X4-36转接件2-6;x4-p36-36(1mt.054.003)-9;X4-36转接件1-9,zb you zuo you jian,you zuo you jian,right_shoulder_roll_joint,revolute,0.064,-0.036,0,0,0,0,right_shoulder_pitch,0,-1,0,100,1,-0.08,3.22,,,,,,,,
right_arm_yaw,0.0344994920554959,-5.01994279478168E-13,-0.0307904604407921,0,0,0,0.256768568907474,0.000267699336418193,3.04542004145878E-15,0.000114399157810505,0.00037060980651779,-1.73383418916039E-15,0.000257876839350053,0,0,0,0,0,0,package://robot/meshes/right_arm_yaw.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/right_arm_yaw.STL,,X4-36转接件4-2,zb you bi 1,you bi 1,right_arm_yaw_joint,revolute,0,0.036,-0.098,0,0,0,right_shoulder_roll,0,0,-1,100,1,-3.14,3.14,,,,,,,,
right_elbow_pitch,-0.0242974057203581,-0.000526783197097778,-0.00647212716319402,0,0,0,0.517820734535501,0.000326823416275458,-5.66378764800444E-06,-1.68141452376605E-05,0.000299884999990418,-2.58997896399175E-07,0.0002580037080611,0,0,0,0,0,0,package://robot/meshes/right_elbow_pitch.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot/meshes/right_elbow_pitch.STL,,X4-36转接件1-13;x4-p36-36(1mt.054.003)-11;X4-36 垫块-2;X4-36转接件3-2,zb you bi 2,you bi 2,right_elbow_pitch_joint,revolute,0.0459999999986073,0,-0.0659999999999983,0,0,0,right_arm_yaw,1,0,0,100,1,-2.1,2.1,,,,,,,,
