Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis_link,0.0045574,0.00066334,0.17579,0,0,0,12.04,0.076121,1.3035E-06,0.00056213,0.032953,3.4088E-07,0.063659,0,0,0,0,0,0,package://p1/meshes/pelvis_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://p1/meshes/pelvis_link.STL,,电池配重部分-1;waist_yaw_link^总装-1,pelvis_joint,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_roll_l_link,0.022849,-0.0172,-2.5856E-08,0,0,0,0.3815,0.00045648,-0.00013798,-5.1196E-07,0.00071378,7.1688E-11,0.00055342,0,0,0,0,0,0,package://p1/meshes/hip_roll_l_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://p1/meshes/hip_roll_l_link.STL,,hip_roll_l_link^总装-1,hip_roll_l_joint,A_hip_roll_l_joint,hip_roll_l_joint,revolute,-0.060801,0.09,-0.062852,0,0.5236,0,pelvis_link,1,0,0,120,127,-3.14,3.14,,,,,,,,
hip_pitch_l_link,2.1337E-16,0.0098528,-0.029592,0,0,0,0.33599,0.00044638,8.7068E-19,-1.4629E-18,0.00041533,-0.00011603,0.00020341,0,0,0,0,0,0,package://p1/meshes/hip_pitch_l_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://p1/meshes/hip_pitch_l_link.STL,,hip_pitch_l_link^总装-1,hip_pitch_l_joint,A_hip_pitch_l_joint,hip_pitch_l_joint,revolute,0.071,-0.042,0,0,-0.5236,0,hip_roll_l_link,0,1,0,120,127,-3.14,3.14,,,,,,,,
hip_yaw_l_link,-4.20066347998904E-06,-0.00201816607974824,-0.0869206948347561,0,0,0,0.667391495247759,0.000955875492376344,-1.74742914467101E-07,-1.59083825380519E-07,0.00103056984275109,7.28520130777697E-05,0.000833038074174667,0,0,0,0,0,0,package://p1/meshes/hip_yaw_l_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://p1/meshes/hip_yaw_l_link.STL,,hip_yaw_l_link^总装-1,hip_yaw_l_joint,A_hip_yaw_l_joint,hip_yaw_l_joint,revolute,0,0.029,-0.065,0,0,0,hip_pitch_l_link,0,0,1,60,153,-3.14,3.14,,,,,,,,
knee_pitch_l_link,0.0080885,0.028894,-0.12706,0,0,0,1.1222,0.0044714,-2.8172E-05,2.8253E-05,0.0043843,-0.00056878,0.00066475,0,0,0,0,0,0,package://p1/meshes/knee_pitch_l_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://p1/meshes/knee_pitch_l_link.STL,,knee_pitch_l_link^总装-1,knee_pitch_l_joint,A_knee_pitch_l_joint,knee_pitch_l_joint,revolute,0,-0.026,-0.143,0,0,0,hip_yaw_l_link,0,1,0,60,153,-3.14,3.14,,,,,,,,
ankle_pitch_l_link,-9.8012E-17,0.0244,9.992E-16,0,0,0,0.026902,3.2762E-06,-2.5915E-21,5.2758E-21,2.2066E-06,9.2945E-20,4.7772E-06,0,0,0,0,0,0,package://p1/meshes/ankle_pitch_l_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://p1/meshes/ankle_pitch_l_link.STL,,ankle_pitch_l_link^总装-2,ankle_pitch_l_joint,A_ankle_pitch_l_joint,ankle_pitch_l_joint,revolute,0,0.0107,-0.30494,0,0,0,knee_pitch_l_link,0,1,0,34,83,-3.14,3.14,,,,,,,,
ankle_roll_l_link,-0.017862,3.8117E-06,-0.025762,0,0,0,0.5993,0.00058927,7.415E-08,-2.3083E-06,0.0011826,1.9482E-09,0.0017459,0,0,0,0,0,0,package://p1/meshes/ankle_roll_l_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://p1/meshes/ankle_roll_l_link.STL,,ankle_roll_l_link^总装-1,ankle_roll_l_joint,A_ankle_roll_l_joint,ankle_roll_l_joint,revolute,0.0209,0.0244,0,0,0,0,ankle_pitch_l_link,1,0,0,34,83,-3.14,3.14,,,,,,,,
hip_roll_r_link,0.022849,0.0172,2.4938E-08,0,0,0,0.3815,0.00045648,0.00013798,5.1197E-07,0.00071378,6.717E-11,0.00055342,0,0,0,0,0,0,package://p1/meshes/hip_roll_r_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://p1/meshes/hip_roll_r_link.STL,,hip_roll_r_link^总装-1,hip_roll_r_joint,A_hip_roll_r_joint,hip_roll_r_joint,revolute,-0.061763,-0.09,-0.062296,0,0.5236,0,pelvis_link,1,0,0,120,127,-3.14,3.14,,,,,,,,
hip_pitch_r_link,6.24500451351651E-17,-0.00985278792915942,-0.029592358680145,0,0,0,0.335986905153369,0.000446375158812584,-4.81183071759896E-19,-1.1797927806409E-18,0.000415329871340486,0.00011602520684919,0.000203408693930885,0,0,0,0,0,0,package://p1/meshes/hip_pitch_r_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://p1/meshes/hip_pitch_r_link.STL,,hip_pitch_r_link^总装-1,hip_pitch_r_joint,A_hip_pitch_r_joint,hip_pitch_r_joint,revolute,0.071,0.042,0,0,-0.5236,0,hip_roll_r_link,0,1,0,120,127,-3.14,3.14,,,,,,,,
hip_yaw_r_link,2.9653E-11,0.0020591,-0.086921,0,0,0,0.66739,0.00095589,-1.5534E-07,2.4798E-07,0.0010306,-7.3701E-05,0.00083303,0,0,0,0,0,0,package://p1/meshes/hip_yaw_r_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://p1/meshes/hip_yaw_r_link.STL,,hip_yaw_r_link^总装-1,hip_yaw_r_joint,A_hip_yaw_r_joint,hip_yaw_r_joint,revolute,0,-0.029,-0.065,0,0,0,hip_pitch_r_link,0,0,1,60,153,-3.14,3.14,,,,,,,,
